locus_tag	ftype	length_bp	gene	EC_number	COG	product
IMKOHAHG_00350	CDS	846	rplB			50S ribosomal protein L2
IMKOHAHG_00351	CDS	288	rplW			50S ribosomal protein L23
IMKOHAHG_00352	CDS	627	rplD		COG0088	50S ribosomal protein L4
IMKOHAHG_00353	CDS	666	rplC		COG0087	50S ribosomal protein L3
IMKOHAHG_00354	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
IMKOHAHG_00355	CDS	2100	fusA		COG0480	Elongation factor G
IMKOHAHG_00356	CDS	471	rpsG		COG0049	30S ribosomal protein S7
IMKOHAHG_00357	CDS	414	rpsL		COG0048	30S ribosomal protein S12
IMKOHAHG_00358	CDS	702	comC			Type 4 prepilin-like proteins leader peptide-processing enzyme
IMKOHAHG_00359	CDS	3639	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
IMKOHAHG_00360	CDS	3600	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
IMKOHAHG_00361	CDS	594				hypothetical protein
IMKOHAHG_00362	CDS	2502	clpC_1			ATP-dependent Clp protease ATP-binding subunit ClpC
IMKOHAHG_00363	CDS	468	ctsR		COG4463	Transcriptional regulator CtsR
IMKOHAHG_00364	CDS	2787				hypothetical protein
IMKOHAHG_00365	CDS	270				hypothetical protein
IMKOHAHG_00366	CDS	1344				hypothetical protein
IMKOHAHG_00367	CDS	1071				hypothetical protein
IMKOHAHG_00368	CDS	483				hypothetical protein
IMKOHAHG_00369	CDS	729		1.-.-.-		putative oxidoreductase
IMKOHAHG_00370	CDS	552	maa_2	2.3.1.79	COG0110	Maltose O-acetyltransferase
IMKOHAHG_00371	tRNA	76				tRNA-Pro(cgg)
IMKOHAHG_00372	tRNA	77				tRNA-Arg(acg)
IMKOHAHG_00373	tRNA	72				tRNA-Gly(gcc)
IMKOHAHG_00374	CDS	681	artQ		COG0765	Arginine transport system permease protein ArtQ
IMKOHAHG_00375	CDS	834	artP		COG0834	Arginine-binding extracellular protein ArtP
IMKOHAHG_00376	tRNA	74				tRNA-Thr(tgt)
IMKOHAHG_00377	tRNA	85				tRNA-Leu(tag)
IMKOHAHG_00378	tRNA	75				tRNA-Val(tac)
IMKOHAHG_00379	CDS	642		2.7.1.113	COG1428	Deoxyguanosine kinase
IMKOHAHG_00380	CDS	1491	lysP		COG0833	Lysine-specific permease
IMKOHAHG_00381	CDS	531	iscR			HTH-type transcriptional regulator IscR
IMKOHAHG_00382	CDS	525				hypothetical protein
IMKOHAHG_00383	CDS	807				hypothetical protein
IMKOHAHG_00384	CDS	189				hypothetical protein
IMKOHAHG_00385	CDS	669				hypothetical protein
IMKOHAHG_00386	CDS	459				hypothetical protein
IMKOHAHG_00387	CDS	756				hypothetical protein
IMKOHAHG_00388	CDS	201	cspLA		COG1278	Cold shock-like protein CspLA
IMKOHAHG_00389	CDS	651	mntR			HTH-type transcriptional regulator MntR
IMKOHAHG_00390	CDS	897	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
IMKOHAHG_00391	CDS	705				hypothetical protein
IMKOHAHG_00392	CDS	678				hypothetical protein
IMKOHAHG_00393	CDS	459				hypothetical protein
IMKOHAHG_00394	CDS	1590	mntH_1			Divalent metal cation transporter MntH
IMKOHAHG_00395	CDS	1539	mco_2	1.-.-.-		Multicopper oxidase mco
IMKOHAHG_00396	CDS	960				hypothetical protein
IMKOHAHG_00397	CDS	1698	rnj1	3.1.-.-		Ribonuclease J 1
IMKOHAHG_00398	CDS	339				hypothetical protein
IMKOHAHG_00399	CDS	165				hypothetical protein
IMKOHAHG_00400	CDS	438				hypothetical protein
IMKOHAHG_00401	CDS	1488	ribZ_2			Riboflavin transporter RibZ
IMKOHAHG_00402	CDS	723				hypothetical protein
IMKOHAHG_00403	CDS	705	ygaZ		COG1296	Inner membrane protein YgaZ
IMKOHAHG_00404	CDS	327				hypothetical protein
IMKOHAHG_00405	CDS	630	ppaX	3.6.1.1	COG0546	Pyrophosphatase PpaX
IMKOHAHG_00406	CDS	882	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
IMKOHAHG_00407	CDS	642				hypothetical protein
IMKOHAHG_00408	CDS	243				hypothetical protein
IMKOHAHG_00409	CDS	525				hypothetical protein
IMKOHAHG_00410	tRNA	76				tRNA-Asp(gtc)
IMKOHAHG_00411	CDS	495				hypothetical protein
IMKOHAHG_00412	CDS	555	rutB_1	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
IMKOHAHG_00413	CDS	1428	mdtD_1			Putative multidrug resistance protein MdtD
IMKOHAHG_00414	CDS	621	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
IMKOHAHG_00415	CDS	708	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
IMKOHAHG_00416	CDS	777	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
IMKOHAHG_00417	CDS	963				hypothetical protein
IMKOHAHG_00418	CDS	867	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
IMKOHAHG_00419	CDS	1188			COG0683	Leu/Ile/Val-binding protein 
IMKOHAHG_00420	CDS	327				hypothetical protein
IMKOHAHG_00421	CDS	552				hypothetical protein
IMKOHAHG_00422	CDS	885				hypothetical protein
IMKOHAHG_00423	CDS	969	gspA		COG1442	General stress protein A
IMKOHAHG_00424	CDS	768				hypothetical protein
IMKOHAHG_00425	CDS	849	yvgN_1	1.1.1.-	COG0656	Glyoxal reductase
IMKOHAHG_00426	CDS	351				hypothetical protein
IMKOHAHG_00427	CDS	852				hypothetical protein
IMKOHAHG_00428	CDS	522				IS1595 family transposase ISCac2
IMKOHAHG_00429	CDS	390	crcB_1			Putative fluoride ion transporter CrcB
IMKOHAHG_00430	CDS	363	crcB_2			Putative fluoride ion transporter CrcB
IMKOHAHG_00431	CDS	576				hypothetical protein
IMKOHAHG_00432	CDS	948	rbsB		COG1879	Ribose import binding protein RbsB
IMKOHAHG_00433	CDS	969	rbsC		COG1172	Ribose import permease protein RbsC
IMKOHAHG_00434	CDS	1491	rbsA	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
IMKOHAHG_00435	CDS	396	rbsD	5.4.99.62	COG1869	D-ribose pyranase
IMKOHAHG_00436	CDS	756		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
IMKOHAHG_00437	CDS	420	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
IMKOHAHG_00438	CDS	1407	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
IMKOHAHG_00439	CDS	1491	gltX	6.1.1.17		Glutamate--tRNA ligase
IMKOHAHG_00440	CDS	1152	yacL	3.1.-.-	COG4956	putative PIN and TRAM-domain containing protein YacL
IMKOHAHG_00441	CDS	1368	radA	3.6.4.-	COG1066	DNA repair protein RadA
IMKOHAHG_00442	CDS	537	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
IMKOHAHG_00443	CDS	294	yjdJ		COG2388	putative protein YjdJ
IMKOHAHG_00444	CDS	684	rpiA_1	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
IMKOHAHG_00445	CDS	1332	pepC	3.4.22.40	COG3579	Aminopeptidase C
IMKOHAHG_00446	CDS	978	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
IMKOHAHG_00447	CDS	672	gpmA_3	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
IMKOHAHG_00448	CDS	930				hypothetical protein
IMKOHAHG_00449	CDS	876				hypothetical protein
IMKOHAHG_00450	CDS	963				hypothetical protein
IMKOHAHG_00451	CDS	948				hypothetical protein
IMKOHAHG_00452	CDS	750	accA_1	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
IMKOHAHG_00453	CDS	789	accD_1	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
IMKOHAHG_00454	CDS	1347	accC_1	6.3.4.14	COG0439	Biotin carboxylase
IMKOHAHG_00455	CDS	369				hypothetical protein
IMKOHAHG_00456	CDS	978	fabH_1	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
IMKOHAHG_00457	tRNA	88				tRNA-Leu(aag)
IMKOHAHG_00458	CDS	459				Protein SprT-like protein
IMKOHAHG_00459	CDS	2184	yhgF		COG2183	Protein YhgF
IMKOHAHG_00460	CDS	2652		7.2.2.10		Calcium-transporting ATPase 1
IMKOHAHG_00461	CDS	828	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
IMKOHAHG_00462	CDS	1467	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
IMKOHAHG_00463	CDS	702	nagR		COG2188	HTH-type transcriptional repressor NagR
IMKOHAHG_00464	CDS	1134	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
IMKOHAHG_00465	CDS	795	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
IMKOHAHG_00466	CDS	1722	lldP		COG1620	L-lactate permease
IMKOHAHG_00467	CDS	1410	mntH_2			Divalent metal cation transporter MntH
IMKOHAHG_00468	CDS	462				hypothetical protein
IMKOHAHG_00469	tRNA	74				tRNA-Gln(ttg)
IMKOHAHG_00470	tRNA	83				tRNA-Tyr(gta)
IMKOHAHG_00471	CDS	822				hypothetical protein
IMKOHAHG_00472	CDS	1497	dtpT		COG3104	Di-/tripeptide transporter
IMKOHAHG_00473	tRNA	75				tRNA-Thr(cgt)
IMKOHAHG_00474	tRNA	75				tRNA-Asn(gtt)
IMKOHAHG_00475	rRNA	113				5S ribosomal RNA
IMKOHAHG_00476	CDS	474	rimP		COG0779	Ribosome maturation factor RimP
IMKOHAHG_00477	CDS	1125	nusA		COG0195	Transcription termination/antitermination protein NusA
IMKOHAHG_00478	CDS	297				hypothetical protein
IMKOHAHG_00479	CDS	306	rplGA		COG1358	putative ribosomal protein YlxQ
IMKOHAHG_00480	CDS	2622	infB			Translation initiation factor IF-2
IMKOHAHG_00481	CDS	357	rbfA			Ribosome-binding factor A
IMKOHAHG_00482	CDS	906	truB	5.4.99.25		tRNA pseudouridine synthase B
IMKOHAHG_00483	CDS	960	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
IMKOHAHG_00484	CDS	369				hypothetical protein
IMKOHAHG_00485	CDS	1041	hrcA		COG1420	Heat-inducible transcription repressor HrcA
IMKOHAHG_00486	CDS	603	grpE			Protein GrpE
IMKOHAHG_00487	CDS	1875	dnaK		COG0443	Chaperone protein DnaK
IMKOHAHG_00488	CDS	1152	dnaJ		COG0484	Chaperone protein DnaJ
IMKOHAHG_00489	CDS	1875	lepA	3.6.5.-		Elongation factor 4
IMKOHAHG_00490	CDS	366				hypothetical protein
IMKOHAHG_00491	CDS	339				hypothetical protein
IMKOHAHG_00492	CDS	960	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
IMKOHAHG_00493	CDS	759	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
IMKOHAHG_00494	CDS	354				hypothetical protein
IMKOHAHG_00495	CDS	2256	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
IMKOHAHG_00496	CDS	438	dtd	3.1.1.96		D-aminoacyl-tRNA deacylase
IMKOHAHG_00497	CDS	618	gph_2	3.1.3.18		Phosphoglycolate phosphatase
IMKOHAHG_00498	CDS	849		2.7.1.-	COG3001	putative ketoamine kinase
IMKOHAHG_00499	CDS	855				hypothetical protein
IMKOHAHG_00500	CDS	1293	hisS	6.1.1.21		Histidine--tRNA ligase
IMKOHAHG_00501	CDS	1779	aspS_1	6.1.1.12		Aspartate--tRNA ligase
IMKOHAHG_00502	CDS	876				hypothetical protein
IMKOHAHG_00503	CDS	894	nfo	3.1.21.2	COG0648	putative endonuclease 4
IMKOHAHG_00504	CDS	186	rpsU			30S ribosomal protein S21
IMKOHAHG_00505	CDS	444	yqeY		COG1610	putative protein YqeY
IMKOHAHG_00506	CDS	987			COG1702	PhoH-like protein
IMKOHAHG_00507	CDS	483	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
IMKOHAHG_00508	CDS	387	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
IMKOHAHG_00509	CDS	906	era		COG1159	GTPase Era
IMKOHAHG_00510	CDS	801	recO		COG1381	DNA repair protein RecO
IMKOHAHG_00511	CDS	927	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
IMKOHAHG_00512	CDS	2079	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
IMKOHAHG_00513	CDS	1875	dnaG	2.7.7.-	COG0358	DNA primase
IMKOHAHG_00514	CDS	1155	sigA		COG0568	RNA polymerase sigma factor SigA
IMKOHAHG_00515	CDS	1179	bcr			Bicyclomycin resistance protein
IMKOHAHG_00516	CDS	696	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
IMKOHAHG_00517	CDS	822			COG0327	GTP cyclohydrolase 1 type 2 
IMKOHAHG_00518	CDS	186				hypothetical protein
IMKOHAHG_00519	CDS	3357	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
IMKOHAHG_00520	CDS	717	tal_1	2.2.1.2	COG0176	Transaldolase
IMKOHAHG_00521	CDS	1422	pyk	2.7.1.40	COG0469	Pyruvate kinase
IMKOHAHG_00522	CDS	867	cvfB			Conserved virulence factor B
IMKOHAHG_00523	CDS	888	xerD			Tyrosine recombinase XerD
IMKOHAHG_00524	CDS	360				hypothetical protein
IMKOHAHG_00525	CDS	795	scpA		COG1354	Segregation and condensation protein A
IMKOHAHG_00526	CDS	615	scpB			Segregation and condensation protein B
IMKOHAHG_00527	CDS	714	rluB_1	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
IMKOHAHG_00528	CDS	567	ribU			Riboflavin transporter RibU
IMKOHAHG_00529	CDS	1026				hypothetical protein
IMKOHAHG_00530	CDS	1455	recQ_1	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
IMKOHAHG_00531	CDS	549				hypothetical protein
IMKOHAHG_00532	CDS	684	cmk	2.7.4.25	COG0283	Cytidylate kinase
IMKOHAHG_00533	CDS	1215	rps1		COG0539	30S ribosomal protein S1
IMKOHAHG_00534	CDS	1314	der			GTPase Der
IMKOHAHG_00535	CDS	276	hup			DNA-binding protein HU
IMKOHAHG_00536	CDS	1257	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
IMKOHAHG_00537	CDS	825	xerC_2			Tyrosine recombinase XerC
IMKOHAHG_00538	CDS	768	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
IMKOHAHG_00539	CDS	1212	cca	2.7.7.72		CCA-adding enzyme
IMKOHAHG_00540	CDS	1899	ettA		COG0488	Energy-dependent translational throttle protein EttA
IMKOHAHG_00541	CDS	963	thyA	2.1.1.45		Thymidylate synthase
IMKOHAHG_00542	CDS	498	dfrA	1.5.1.3	COG0262	Dihydrofolate reductase
IMKOHAHG_00543	CDS	639				hypothetical protein
IMKOHAHG_00544	CDS	843			COG1307	DegV domain-containing protein
IMKOHAHG_00545	CDS	930				hypothetical protein
IMKOHAHG_00546	CDS	615				hypothetical protein
IMKOHAHG_00547	CDS	222				hypothetical protein
IMKOHAHG_00548	CDS	873	rbgA		COG1161	Ribosome biogenesis GTPase A
IMKOHAHG_00549	CDS	774	rnhB	3.1.26.4	COG0164	Ribonuclease HII
IMKOHAHG_00550	CDS	861				hypothetical protein
IMKOHAHG_00551	CDS	2127	topA	5.6.2.1		DNA topoisomerase 1
IMKOHAHG_00552	CDS	933	xerC_3		COG4974	Tyrosine recombinase XerC
IMKOHAHG_00553	CDS	870	lacX_1			Protein LacX, plasmid
IMKOHAHG_00554	CDS	618	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
IMKOHAHG_00555	CDS	2118	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
IMKOHAHG_00556	CDS	2445	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
IMKOHAHG_00557	CDS	978	hdfR_1			HTH-type transcriptional regulator HdfR
IMKOHAHG_00558	CDS	933	ppaC	3.6.1.1	COG1227	Manganese-dependent inorganic pyrophosphatase
IMKOHAHG_00559	CDS	1287	eno	4.2.1.11	COG0148	Enolase
IMKOHAHG_00560	CDS	2322	yoaB	7.2.2.10	COG0474	Calcium-transporting ATPase 1
IMKOHAHG_00561	CDS	1338	nox	1.6.99.3	COG0446	NADH oxidase
IMKOHAHG_00562	CDS	930	map_1	3.4.11.18	COG0024	Methionine aminopeptidase 1
IMKOHAHG_00563	CDS	363				hypothetical protein
IMKOHAHG_00564	CDS	456	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
IMKOHAHG_00565	CDS	309				hypothetical protein
IMKOHAHG_00566	CDS	303				hypothetical protein
IMKOHAHG_00567	CDS	522	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
IMKOHAHG_00568	CDS	852				hypothetical protein
IMKOHAHG_00569	CDS	375				hypothetical protein
IMKOHAHG_00570	CDS	843	dkgB	1.1.1.274		2,5-diketo-D-gluconic acid reductase B
IMKOHAHG_00571	CDS	1233				hypothetical protein
IMKOHAHG_00572	CDS	540				hypothetical protein
IMKOHAHG_00573	CDS	867	degV_1		COG1307	Protein DegV
IMKOHAHG_00574	CDS	429				hypothetical protein
IMKOHAHG_00575	CDS	1689	rqcH		COG1293	Rqc2 RqcH
IMKOHAHG_00576	CDS	2556	carB_1			Carbamoyl-phosphate synthase large chain
IMKOHAHG_00577	CDS	1077	carA_2	6.3.5.5		Carbamoyl-phosphate synthase small chain
IMKOHAHG_00578	CDS	921	rluD_2	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
IMKOHAHG_00579	CDS	453	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
IMKOHAHG_00580	CDS	1662	fhs1	6.3.4.3		Formate--tetrahydrofolate ligase 1
IMKOHAHG_00581	CDS	387				hypothetical protein
IMKOHAHG_00582	CDS	396	rnhA		COG0328	14.7 kDa ribonuclease H-like protein
IMKOHAHG_00583	CDS	1110	thiO	1.4.3.19		Glycine oxidase
IMKOHAHG_00584	CDS	1260	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
IMKOHAHG_00585	CDS	1536	purH			Bifunctional purine biosynthesis protein PurH
IMKOHAHG_00586	CDS	582	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
IMKOHAHG_00587	CDS	1053	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
IMKOHAHG_00588	CDS	1467	purF	2.4.2.14		Amidophosphoribosyltransferase
IMKOHAHG_00589	CDS	2205	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
IMKOHAHG_00590	CDS	666	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
IMKOHAHG_00591	CDS	267	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
IMKOHAHG_00592	CDS	735	purC	6.3.2.6		Phosphoribosylaminoimidazole-succinocarboxamide synthase
IMKOHAHG_00593	CDS	1137	purK_2	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
IMKOHAHG_00594	CDS	483	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
IMKOHAHG_00595	CDS	603				hypothetical protein
IMKOHAHG_00596	CDS	1146	rlmL	2.1.1.173	COG0116	Ribosomal RNA large subunit methyltransferase L
IMKOHAHG_00597	CDS	165				hypothetical protein
IMKOHAHG_00598	CDS	360	gpsB		COG3599	Cell cycle protein GpsB
IMKOHAHG_00599	CDS	573				hypothetical protein
IMKOHAHG_00600	CDS	621	recU	3.1.22.4	COG3331	Holliday junction resolvase RecU
IMKOHAHG_00601	CDS	2283	pbpA		COG0744	Penicillin-binding protein 1A
IMKOHAHG_00602	CDS	717	dnaD		COG3935	DNA replication protein DnaD
IMKOHAHG_00603	CDS	1296	asnS	6.1.1.22		Asparagine--tRNA ligase
IMKOHAHG_00604	CDS	501				hypothetical protein
IMKOHAHG_00605	CDS	2808	dinG	3.1.-.-		3'-5' exonuclease DinG
IMKOHAHG_00606	CDS	960	galK_1	2.7.1.6		Galactokinase
IMKOHAHG_00607	CDS	981	thrB_2	2.7.1.39		Homoserine kinase
IMKOHAHG_00608	CDS	1089		2.7.4.2		Phosphomevalonate kinase
IMKOHAHG_00609	CDS	1047	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
IMKOHAHG_00610	CDS	1026			COG2826	IS30 family transposase ISStin2
IMKOHAHG_00611	CDS	1347	rsmF	2.1.1.-	COG0144	Ribosomal RNA small subunit methyltransferase F
IMKOHAHG_00612	CDS	813	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
IMKOHAHG_00613	CDS	1503	glpK_1	2.7.1.30	COG0554	Glycerol kinase
IMKOHAHG_00614	CDS	1314	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
IMKOHAHG_00615	CDS	186		5.3.2.-		putative tautomerase
IMKOHAHG_00616	CDS	1410	pepD	3.4.-.-	COG4690	Dipeptidase
IMKOHAHG_00617	CDS	354	rplS		COG0335	50S ribosomal protein L19
IMKOHAHG_00618	CDS	756	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
IMKOHAHG_00619	CDS	507	rimM			Ribosome maturation factor RimM
IMKOHAHG_00620	CDS	273				hypothetical protein
IMKOHAHG_00621	CDS	276	rpsP		COG0228	30S ribosomal protein S16
IMKOHAHG_00622	CDS	1419	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
IMKOHAHG_00623	CDS	315	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
IMKOHAHG_00624	CDS	1197	pntAA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha part 1
IMKOHAHG_00625	CDS	1845	typA		COG1217	GTP-binding protein TypA/BipA
IMKOHAHG_00626	CDS	768	suhB	3.1.3.11	COG0483	Fructose-1,6-bisphosphatase/inositol-1-monophosphatase
IMKOHAHG_00627	CDS	282				hypothetical protein
IMKOHAHG_00628	CDS	1422	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
IMKOHAHG_00629	CDS	1299	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
IMKOHAHG_00630	CDS	978	pdhB	1.2.4.1	COG0022	Pyruvate dehydrogenase E1 component subunit beta
IMKOHAHG_00631	CDS	1107	pdhA	1.2.4.1		Pyruvate dehydrogenase E1 component subunit alpha
IMKOHAHG_00632	CDS	561	def2	3.5.1.88	COG0242	Peptide deformylase 2
IMKOHAHG_00633	CDS	486				hypothetical protein
IMKOHAHG_00634	CDS	213				hypothetical protein
IMKOHAHG_00635	CDS	948	ytlR	2.7.1.-	COG1597	Putative lipid kinase YtlR
IMKOHAHG_00636	CDS	216				hypothetical protein
IMKOHAHG_00637	CDS	1218	cwlS	3.4.19.11	COG0791	D-gamma-glutamyl-meso-diaminopimelic acid endopeptidase CwlS
IMKOHAHG_00638	CDS	531				hypothetical protein
IMKOHAHG_00639	CDS	804	mhpD	4.2.1.80		2-keto-4-pentenoate hydratase
IMKOHAHG_00640	CDS	759		1.1.1.391	COG1028	3-beta-hydroxycholanate 3-dehydrogenase (NAD(+)) 2
IMKOHAHG_00641	CDS	426	spxA_1			Regulatory protein Spx
IMKOHAHG_00642	CDS	657	gpmA_4	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
IMKOHAHG_00643	CDS	570				hypothetical protein
IMKOHAHG_00644	CDS	996	prs_1	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
IMKOHAHG_00645	CDS	2451	recD2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
IMKOHAHG_00646	CDS	690	cpoB			Cell division coordinator CpoB
IMKOHAHG_00647	CDS	663	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
IMKOHAHG_00648	CDS	1134	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
IMKOHAHG_00649	CDS	342				hypothetical protein
IMKOHAHG_00650	CDS	1164	iscS_1	2.8.1.7		Cysteine desulfurase IscS
IMKOHAHG_00651	CDS	696	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
IMKOHAHG_00652	CDS	318				hypothetical protein
IMKOHAHG_00653	CDS	555	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
IMKOHAHG_00654	CDS	219	cspB		COG1278	Cold shock protein CspB
IMKOHAHG_00655	CDS	990	dapF	5.1.1.7		Diaminopimelate epimerase
IMKOHAHG_00656	CDS	2799	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
IMKOHAHG_00657	CDS	690				hypothetical protein
IMKOHAHG_00658	CDS	786				hypothetical protein
IMKOHAHG_00659	CDS	276				hypothetical protein
IMKOHAHG_00660	CDS	423	sepF		COG1799	Cell division protein SepF
IMKOHAHG_00661	CDS	1221	ftsZ		COG0206	Cell division protein FtsZ
IMKOHAHG_00662	CDS	1407	ftsA		COG0849	Cell division protein FtsA
IMKOHAHG_00663	CDS	855	divIB		COG1589	Cell division protein DivIB
IMKOHAHG_00664	CDS	1101	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
IMKOHAHG_00665	CDS	1374	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
IMKOHAHG_00666	CDS	963	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
IMKOHAHG_00667	CDS	2163	pbpB		COG0768	Penicillin-binding protein 2B
IMKOHAHG_00668	CDS	390	ftsL			Cell division protein FtsL
IMKOHAHG_00669	CDS	948	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
IMKOHAHG_00670	CDS	429	mraZ			Transcriptional regulator MraZ
IMKOHAHG_00671	CDS	345				hypothetical protein
IMKOHAHG_00672	CDS	963				hypothetical protein
IMKOHAHG_00673	CDS	120				hypothetical protein
IMKOHAHG_00674	CDS	2292	spoIIIE		COG1674	DNA translocase SpoIIIE
IMKOHAHG_00675	CDS	513	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
IMKOHAHG_00676	CDS	885				hypothetical protein
IMKOHAHG_00677	CDS	1188				hypothetical protein
IMKOHAHG_00678	CDS	1032	pgl_1	3.1.1.31	COG2706	6-phosphogluconolactonase
IMKOHAHG_00679	CDS	1347	mgtE		COG2239	Magnesium transporter MgtE
IMKOHAHG_00680	CDS	888	rluD_3	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
IMKOHAHG_00681	CDS	810	nadK	2.7.1.23	COG0061	NAD kinase
IMKOHAHG_00682	CDS	690	yjbM	2.7.6.5	COG2357	GTP pyrophosphokinase YjbM
IMKOHAHG_00683	CDS	633				hypothetical protein
IMKOHAHG_00684	CDS	1038				hypothetical protein
IMKOHAHG_00685	CDS	1275		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
IMKOHAHG_00686	CDS	852	metAA	2.3.1.31		Homoserine O-acetyltransferase
IMKOHAHG_00687	CDS	582				hypothetical protein
IMKOHAHG_00688	CDS	171				hypothetical protein
IMKOHAHG_00689	CDS	1032				hypothetical protein
IMKOHAHG_00690	CDS	468				hypothetical protein
